,Location,All Adults,Male,Female
0,United-States,0.093,0.065,0.118
1,Alabama,0.089,0.064,0.106
2,Alaska,0.091,0.051,0.134
3,Arizona,0.101,0.075,0.125
4,Arkansas,0.094,0.069,0.115
5,California,0.095,0.073,0.116
6,Colorado,0.096,0.071,0.12
7,Connecticut,0.106,0.076,0.13
8,Delaware,0.103,0.08,0.122
9,District-of-Columbia,0.102,0.074,0.126
10,Florida,0.074,0.054,0.094
11,Georgia,0.088,0.063,0.11
12,Hawaii,0.089,0.059,0.116
13,Idaho,0.098,0.064,0.13
14,Illinois,0.088,0.063,0.112
15,Indiana,0.098,0.066,0.126
16,Iowa,0.09,0.062,0.116
17,Kansas,0.092,0.064,0.119
18,Kentucky,0.118,0.08,0.152
19,Louisiana,0.077,0.051,0.1
20,Maine,0.102,0.076,0.122
21,Maryland,0.091,0.065,0.112
22,Massachusetts,0.108,0.071,0.139
23,Michigan,0.113,0.074,0.146
24,Minnesota,0.085,0.056,0.112
25,Mississippi,0.088,0.057,0.111
26,Missouri,0.091,0.062,0.117
27,Montana,0.102,0.076,0.128
28,Nebraska,0.076,0.058,0.092
29,Nevada,0.103,0.071,0.132
30,New-Hampshire,0.112,0.079,0.14
31,New-Jersey,0.089,0.061,0.115
32,New-Mexico,0.107,0.084,0.127
33,New-York,0.095,0.069,0.118
34,North-Carolina,0.08,0.057,0.099
35,North-Dakota,0.082,0.054,0.113
36,Ohio,0.1,0.068,0.129
37,Oklahoma,0.11,0.084,0.131
38,Oregon,0.106,0.07,0.14
39,Pennsylvania,0.095,0.063,0.128
40,Rhode-Island,0.124,0.083,0.154
41,South-Carolina,0.094,0.063,0.121
42,South-Dakota,0.081,0.053,0.106
43,Tennessee,0.103,0.066,0.134
44,Texas,0.078,0.05,0.104
45,Utah,0.107,0.084,0.129
46,Vermont,0.107,0.067,0.142
47,Virginia,0.09,0.056,0.121
48,Washington,0.098,0.07,0.125
49,West-Virginia,0.125,0.096,0.149
50,Wisconsin,0.096,0.07,0.121
51,Wyoming,0.099,0.074,0.123
52,Guam,0.056,0.029,0.078
53,Puerto Rico,0.109,0.082,0.127
