,Location,All Adults,Male,Female
0,United-States,0.121,0.127,0.115
1,Alabama,0.167,0.187,0.152
2,Alaska,0.09,0.093,0.087
3,Arizona,0.121,0.138,0.106
4,Arkansas,0.156,0.144,0.166
5,California,0.099,0.098,0.1
6,Colorado,0.088,0.093,0.083
7,Connecticut,0.108,0.123,0.095
8,Delaware,0.139,0.156,0.125
9,District-of-Columbia,0.091,0.082,0.098
10,Florida,0.13,0.13,0.13
11,Georgia,0.141,0.148,0.135
12,Hawaii,0.111,0.123,0.101
13,Idaho,0.1,0.104,0.096
14,Illinois,0.102,0.109,0.096
15,Indiana,0.139,0.143,0.135
16,Iowa,0.114,0.112,0.117
17,Kansas,0.123,0.127,0.12
18,Kentucky,0.147,0.154,0.141
19,Louisiana,0.16,0.162,0.159
20,Maine,0.113,0.125,0.104
21,Maryland,0.12,0.126,0.115
22,Massachusetts,0.091,0.099,0.084
23,Michigan,0.133,0.141,0.126
24,Minnesota,0.1,0.111,0.091
25,Mississippi,0.172,0.177,0.169
26,Missouri,0.119,0.13,0.109
27,Montana,0.105,0.112,0.098
28,Nebraska,0.115,0.124,0.107
29,Nevada,0.118,0.142,0.096
30,New-Hampshire,0.107,0.115,0.1
31,New-Jersey,0.108,0.124,0.092
32,New-Mexico,0.13,0.133,0.126
33,New-York,0.107,0.116,0.098
34,North-Carolina,0.134,0.136,0.132
35,North-Dakota,0.109,0.111,0.107
36,Ohio,0.136,0.136,0.135
37,Oklahoma,0.147,0.155,0.14
38,Oregon,0.104,0.106,0.103
39,Pennsylvania,0.121,0.133,0.108
40,Rhode-Island,0.125,0.131,0.119
41,South-Carolina,0.154,0.151,0.156
42,South-Dakota,0.095,0.101,0.089
43,Tennessee,0.149,0.172,0.13
44,Texas,0.133,0.145,0.122
45,Utah,0.097,0.107,0.088
46,Vermont,0.089,0.1,0.079
47,Virginia,0.126,0.13,0.124
48,Washington,0.098,0.103,0.093
49,West-Virginia,0.171,0.186,0.157
50,Wisconsin,0.1,0.107,0.094
51,Wyoming,0.097,0.097,0.097
52,Guam,0.184,0.186,0.183
53,Puerto Rico,0.167,0.166,0.168
