,Location,All Adults,Male,Female
0,United-States,0.315,0.311,0.319
1,Alabama,0.387,0.373,0.399
2,Alaska,0.32,0.326,0.313
3,Arizona,0.301,0.302,0.301
4,Arkansas,0.357,0.339,0.374
5,California,0.29,0.282,0.299
6,Colorado,0.239,0.241,0.236
7,Connecticut,0.285,0.282,0.289
8,Delaware,0.358,0.352,0.364
9,District-of-Columbia,0.24,0.184,0.294
10,Florida,0.279,0.279,0.279
11,Georgia,0.334,0.324,0.344
12,Hawaii,0.246,0.267,0.227
13,Idaho,0.311,0.321,0.3
14,Illinois,0.304,0.311,0.297
15,Indiana,0.373,0.362,0.384
16,Iowa,0.368,0.376,0.358
17,Kansas,0.35,0.349,0.352
18,Kentucky,0.372,0.38,0.364
19,Louisiana,0.37,0.36,0.38
20,Maine,0.299,0.31,0.289
21,Maryland,0.314,0.305,0.321
22,Massachusetts,0.242,0.251,0.233
23,Michigan,0.356,0.344,0.367
24,Minnesota,0.314,0.337,0.291
25,Mississippi,0.398,0.372,0.419
26,Missouri,0.341,0.322,0.359
27,Montana,0.285,0.288,0.282
28,Nebraska,0.347,0.356,0.337
29,Nevada,0.292,0.307,0.278
30,New-Hampshire,0.299,0.316,0.283
31,New-Jersey,0.274,0.278,0.27
32,New-Mexico,0.294,0.289,0.299
33,New-York,0.265,0.265,0.264
34,North-Carolina,0.332,0.326,0.337
35,North-Dakota,0.326,0.345,0.302
36,Ohio,0.36,0.351,0.369
37,Oklahoma,0.369,0.351,0.385
38,Oregon,0.283,0.281,0.286
39,Pennsylvania,0.312,0.309,0.315
40,Rhode-Island,0.303,0.313,0.295
41,South-Carolina,0.353,0.327,0.377
42,South-Dakota,0.333,0.321,0.345
43,Tennessee,0.353,0.344,0.36
44,Texas,0.344,0.335,0.354
45,Utah,0.293,0.299,0.286
46,Vermont,0.268,0.266,0.271
47,Virginia,0.319,0.317,0.321
48,Washington,0.285,0.284,0.286
49,West-Virginia,0.393,0.41,0.378
50,Wisconsin,0.319,0.331,0.305
51,Wyoming,0.31,0.31,0.311
52,Guam,0.314,0.311,0.317
53,Puerto Rico,0.331,0.305,0.35
