"Location","All Adults","Male","Female",Footnotes
"United States","0.093","0.065","0.118","1"
"Alabama","0.089","0.064","0.106"
"Alaska","0.091","0.051","0.134"
"Arizona","0.101","0.075","0.125"
"Arkansas","0.094","0.069","0.115"
"California","0.095","0.073","0.116"
"Colorado","0.096","0.071","0.120"
"Connecticut","0.106","0.076","0.130"
"Delaware","0.103","0.080","0.122"
"District of Columbia","0.102","0.074","0.126"
"Florida","0.074","0.054","0.094"
"Georgia","0.088","0.063","0.110"
"Hawaii","0.089","0.059","0.116"
"Idaho","0.098","0.064","0.130"
"Illinois","0.088","0.063","0.112"
"Indiana","0.098","0.066","0.126"
"Iowa","0.090","0.062","0.116"
"Kansas","0.092","0.064","0.119"
"Kentucky","0.118","0.080","0.152"
"Louisiana","0.077","0.051","0.100"
"Maine","0.102","0.076","0.122"
"Maryland","0.091","0.065","0.112"
"Massachusetts","0.108","0.071","0.139"
"Michigan","0.113","0.074","0.146"
"Minnesota","0.085","0.056","0.112"
"Mississippi","0.088","0.057","0.111"
"Missouri","0.091","0.062","0.117"
"Montana","0.102","0.076","0.128"
"Nebraska","0.076","0.058","0.092"
"Nevada","0.103","0.071","0.132"
"New Hampshire","0.112","0.079","0.140"
"New Jersey","0.089","0.061","0.115"
"New Mexico","0.107","0.084","0.127"
"New York","0.095","0.069","0.118"
"North Carolina","0.080","0.057","0.099"
"North Dakota","0.082","0.054","0.113"
"Ohio","0.100","0.068","0.129"
"Oklahoma","0.110","0.084","0.131"
"Oregon","0.106","0.070","0.140"
"Pennsylvania","0.095","0.063","0.128"
"Rhode Island","0.124","0.083","0.154"
"South Carolina","0.094","0.063","0.121"
"South Dakota","0.081","0.053","0.106"
"Tennessee","0.103","0.066","0.134"
"Texas","0.078","0.050","0.104"
"Utah","0.107","0.084","0.129"
"Vermont","0.107","0.067","0.142"
"Virginia","0.090","0.056","0.121"
"Washington","0.098","0.070","0.125"
"West Virginia","0.125","0.096","0.149"
"Wisconsin","0.096","0.070","0.121"
"Wyoming","0.099","0.074","0.123"
"Guam","0.056","0.029","0.078"
"Puerto Rico","0.109","0.082","0.127"
"U.S. Virgin Islands","N/A","N/A","N/A"


