"Location","All Adults","Male","Female",Footnotes
"United States","0.121","0.127","0.115","1"
"Alabama","0.167","0.187","0.152"
"Alaska","0.090","0.093","0.087"
"Arizona","0.121","0.138","0.106"
"Arkansas","0.156","0.144","0.166"
"California","0.099","0.098","0.100"
"Colorado","0.088","0.093","0.083"
"Connecticut","0.108","0.123","0.095"
"Delaware","0.139","0.156","0.125"
"District of Columbia","0.091","0.082","0.098"
"Florida","0.130","0.130","0.130"
"Georgia","0.141","0.148","0.135"
"Hawaii","0.111","0.123","0.101"
"Idaho","0.100","0.104","0.096"
"Illinois","0.102","0.109","0.096"
"Indiana","0.139","0.143","0.135"
"Iowa","0.114","0.112","0.117"
"Kansas","0.123","0.127","0.120"
"Kentucky","0.147","0.154","0.141"
"Louisiana","0.160","0.162","0.159"
"Maine","0.113","0.125","0.104"
"Maryland","0.120","0.126","0.115"
"Massachusetts","0.091","0.099","0.084"
"Michigan","0.133","0.141","0.126"
"Minnesota","0.100","0.111","0.091"
"Mississippi","0.172","0.177","0.169"
"Missouri","0.119","0.130","0.109"
"Montana","0.105","0.112","0.098"
"Nebraska","0.115","0.124","0.107"
"Nevada","0.118","0.142","0.096"
"New Hampshire","0.107","0.115","0.100"
"New Jersey","0.108","0.124","0.092"
"New Mexico","0.130","0.133","0.126"
"New York","0.107","0.116","0.098"
"North Carolina","0.134","0.136","0.132"
"North Dakota","0.109","0.111","0.107"
"Ohio","0.136","0.136","0.135"
"Oklahoma","0.147","0.155","0.140"
"Oregon","0.104","0.106","0.103"
"Pennsylvania","0.121","0.133","0.108"
"Rhode Island","0.125","0.131","0.119"
"South Carolina","0.154","0.151","0.156"
"South Dakota","0.095","0.101","0.089"
"Tennessee","0.149","0.172","0.130"
"Texas","0.133","0.145","0.122"
"Utah","0.097","0.107","0.088"
"Vermont","0.089","0.100","0.079"
"Virginia","0.126","0.130","0.124"
"Washington","0.098","0.103","0.093"
"West Virginia","0.171","0.186","0.157"
"Wisconsin","0.100","0.107","0.094"
"Wyoming","0.097","0.097","0.097"
"Guam","0.184","0.186","0.183"
"Puerto Rico","0.167","0.166","0.168"
"U.S. Virgin Islands","N/A","N/A","N/A"

