"Location","All Adults","Male","Female",Footnotes
"United States","0.075","0.093","0.058","1"
"Alabama","0.101","0.130","0.080"
"Alaska","0.061","0.073","0.049"
"Arizona","0.075","0.099","0.054"
"Arkansas","0.116","0.140","0.096"
"California","0.057","0.068","0.047"
"Colorado","0.056","0.069","0.043"
"Connecticut","0.069","0.085","0.055"
"Delaware","0.083","0.115","0.056"
"District of Columbia","0.049","0.065","0.035"
"Florida","0.090","0.114","0.066"
"Georgia","0.087","0.111","0.068"
"Hawaii","0.048","0.063","0.035"
"Idaho","0.074","0.092","0.058"
"Illinois","0.063","0.078","0.048"
"Indiana","0.086","0.104","0.070"
"Iowa","0.073","0.095","0.053"
"Kansas","0.076","0.092","0.062"
"Kentucky","0.103","0.112","0.094"
"Louisiana","0.096","0.112","0.082"
"Maine","0.085","0.111","0.066"
"Maryland","0.068","0.088","0.051"
"Massachusetts","0.064","0.082","0.048"
"Michigan","0.084","0.111","0.062"
"Minnesota","0.066","0.088","0.045"
"Mississippi","0.099","0.130","0.076"
"Missouri","0.081","0.100","0.065"
"Montana","0.073","0.096","0.049"
"Nebraska","0.068","0.085","0.053"
"Nevada","0.090","0.121","0.061"
"New Hampshire","0.072","0.107","0.043"
"New Jersey","0.069","0.090","0.049"
"New Mexico","0.068","0.082","0.056"
"New York","0.065","0.087","0.045"
"North Carolina","0.079","0.094","0.067"
"North Dakota","0.075","0.090","0.059"
"Ohio","0.087","0.108","0.069"
"Oklahoma","0.095","0.110","0.083"
"Oregon","0.062","0.076","0.048"
"Pennsylvania","0.086","0.099","0.072"
"Rhode Island","0.078","0.111","0.053"
"South Carolina","0.093","0.113","0.076"
"South Dakota","0.078","0.095","0.064"
"Tennessee","0.089","0.107","0.073"
"Texas","0.067","0.089","0.045"
"Utah","0.057","0.075","0.039"
"Vermont","0.075","0.097","0.055"
"Virginia","0.071","0.086","0.057"
"Washington","0.067","0.085","0.049"
"West Virginia","0.118","0.148","0.094"
"Wisconsin","0.061","0.081","0.041"
"Wyoming","0.072","0.089","0.055"
"Guam","0.084","0.084","0.084"
"Puerto Rico","0.085","0.085","0.086"
"U.S. Virgin Islands","N/A","N/A","N/A"


