"Location","All Adults","Male","Female",Footnotes
"United States","0.315","0.311","0.319","1"
"Alabama","0.387","0.373","0.399"
"Alaska","0.320","0.326","0.313"
"Arizona","0.301","0.302","0.301"
"Arkansas","0.357","0.339","0.374"
"California","0.290","0.282","0.299"
"Colorado","0.239","0.241","0.236"
"Connecticut","0.285","0.282","0.289"
"Delaware","0.358","0.352","0.364"
"District of Columbia","0.240","0.184","0.294"
"Florida","0.279","0.279","0.279"
"Georgia","0.334","0.324","0.344"
"Hawaii","0.246","0.267","0.227"
"Idaho","0.311","0.321","0.300"
"Illinois","0.304","0.311","0.297"
"Indiana","0.373","0.362","0.384"
"Iowa","0.368","0.376","0.358"
"Kansas","0.350","0.349","0.352"
"Kentucky","0.372","0.380","0.364"
"Louisiana","0.370","0.360","0.380"
"Maine","0.299","0.310","0.289"
"Maryland","0.314","0.305","0.321"
"Massachusetts","0.242","0.251","0.233"
"Michigan","0.356","0.344","0.367"
"Minnesota","0.314","0.337","0.291"
"Mississippi","0.398","0.372","0.419"
"Missouri","0.341","0.322","0.359"
"Montana","0.285","0.288","0.282"
"Nebraska","0.347","0.356","0.337"
"Nevada","0.292","0.307","0.278"
"New Hampshire","0.299","0.316","0.283"
"New Jersey","0.274","0.278","0.270"
"New Mexico","0.294","0.289","0.299"
"New York","0.265","0.265","0.264"
"North Carolina","0.332","0.326","0.337"
"North Dakota","0.326","0.345","0.302"
"Ohio","0.360","0.351","0.369"
"Oklahoma","0.369","0.351","0.385"
"Oregon","0.283","0.281","0.286"
"Pennsylvania","0.312","0.309","0.315"
"Rhode Island","0.303","0.313","0.295"
"South Carolina","0.353","0.327","0.377"
"South Dakota","0.333","0.321","0.345"
"Tennessee","0.353","0.344","0.360"
"Texas","0.344","0.335","0.354"
"Utah","0.293","0.299","0.286"
"Vermont","0.268","0.266","0.271"
"Virginia","0.319","0.317","0.321"
"Washington","0.285","0.284","0.286"
"West Virginia","0.393","0.410","0.378"
"Wisconsin","0.319","0.331","0.305"
"Wyoming","0.310","0.310","0.311"
"Guam","0.314","0.311","0.317"
"Puerto Rico","0.331","0.305","0.350"

